Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2.0,A133,0,1,60.0,1,0.11240927129983902,0.0019743863958865404,0.1131642609834671,0.00190220947843045,0.11554381251335144,0.000992206740193069,0.22071745991706848,0.0,0.14062646,0.1560687,0.11169643700122833,0.002195000881329179,0.39055129885673523,0.0,0.1486433,0.17155269,0.9668174,1.0456353,1.0310323,3999,17585,21584
MCF7,2.0,A133,0,1,60.0,2,0.13635341823101044,0.0017852861201390624,0.1366252601146698,0.001751702860929072,0.11458680033683777,0.0007478594779968262,0.2108718752861023,0.0,0.13645041,0.1499002,0.1421947479248047,0.0019024248467758298,0.431691974401474,0.0,0.17561677,0.19848348,0.57621753,0.69884473,0.6728991,4147,15453,19600
MCF7,2.0,A133,0,1,60.0,3,0.047356147319078445,0.0020035402849316597,0.08360253274440765,0.0005067590973339975,0.08359572291374207,0.0002047393354587257,0.16013942658901215,0.018695661798119545,0.09484311,0.10184693,0.040812160819768906,0.0020483846310526133,0.2296757698059082,0.0,0.08162434,0.10261806,0.21633053,0.40625587,0.37720576,13186,73022,86208
MCF7,2.0,A133,0,1,60.0,4,0.06627679616212845,0.011826306581497192,0.2147148847579956,0.0064414506778120995,0.19502002000808716,0.009102163836359978,0.4838690459728241,0.0,0.27072054,0.31217796,0.019324282184243202,0.004570441320538521,0.5099061131477356,0.0,0.038650487,0.07730866,1.4829525,1.4198548,1.4367168,7333,20107,27440
MCF7,2.0,A133,1,1,60.0,1,0.052683692425489426,0.00018986871873494238,0.05268700048327446,0.0001897063630167395,0.05580496788024902,0.00024788841255940497,0.10381455719470978,0.0,0.06835375,0.076498695,0.05205100029706955,0.0001757328282110393,0.14849381148815155,0.0016191276954486966,0.062084902,0.06879879,0.20753963,0.18948153,0.19252506,5369,26487,31856
MCF7,2.0,A133,1,1,60.0,2,0.05427470803260803,0.0005425545969046652,0.05485519766807556,0.0005165143520571291,0.04861530289053917,0.000353003095369786,0.12144763767719269,0.0,0.06362382,0.072945215,0.05705899000167847,0.0006122994818724692,0.2013116180896759,0.0,0.07676039,0.08870413,0.3638197,0.3963681,0.38563538,5640,11464,17104
MCF7,2.0,A133,10,1,60.0,1,0.048778388649225235,8.248815720435232e-05,0.048778388649225235,8.248815720435232e-05,0.052786607295274734,7.531230221502483e-05,0.08586083352565765,0.01671423204243183,0.0595395,0.06348193,0.04813172668218613,8.063573477556929e-05,0.09165320545434952,0.01219954714179039,0.055134732,0.05993024,0.23711966,0.17950931,0.18747388,4320,26928,31248
MCF7,2.0,A133,10,1,60.0,2,0.04197768494486809,0.00021360260143410414,0.042256493121385574,0.00020323962962720543,0.0401880219578743,0.00021071475930511951,0.0888238400220871,0.0,0.05122752,0.057170976,0.04220337048172951,0.0002135119284503162,0.1266629546880722,0.0,0.052689567,0.060350303,0.06715333,0.090926774,0.08846706,5112,44296,49408
MCF7,2.0,A133,10,1,60.0,3,0.04508298262953758,6.794327055104077e-05,0.04508298262953758,6.794327055104077e-05,0.047025445848703384,6.319369276752695e-05,0.07927050441503525,0.018938938155770302,0.053375274,0.057176888,0.044374577701091766,6.779751856811345e-05,0.08003972470760345,0.007170382887125015,0.05061252,0.054605275,0.11837992,0.11389429,0.115093,6388,17516,23904
MCF7,2.0,A133,10,1,60.0,4,0.05397351086139679,0.0001066532640834339,0.05397351086139679,0.0001066532640834339,0.06094850227236748,0.00019855871505569667,0.11243027448654175,0.013324840925633907,0.072093405,0.07912854,0.052702344954013824,7.942153024487197e-05,0.10702477395534515,0.011214490979909897,0.05959046,0.064143755,0.22016762,0.17794557,0.18445423,9703,53241,62944
MCF7,2.0,A133,10,1,60.0,5,0.04752439260482788,0.00011038620868930593,0.047524988651275635,0.0001103590548154898,0.050767991691827774,9.557524754200131e-05,0.09100161492824554,0.014794966205954552,0.058419056,0.06286929,0.047140076756477356,0.00011074681242462248,0.11003466695547104,0.0,0.055219244,0.060675714,0.23094526,0.17373818,0.17979829,8378,70710,79088
MCF7,2.0,A133,10,1,60.0,6,0.04594330117106438,0.00019206081924494356,0.046088505536317825,0.00018597577582113445,0.04496150463819504,0.0003106278018094599,0.10802052915096283,0.0,0.059044525,0.06867352,0.046015575528144836,0.00018325778364669532,0.1885567605495453,0.0,0.055846788,0.06276435,0.09425457,0.13777845,0.13493077,6168,88104,94272
MCF7,2.0,A133,10,1,60.0,7,0.054902173578739166,0.0002752175205387175,0.05498308688402176,0.0002711742417886853,0.05988915637135506,0.00027504286845214665,0.13174952566623688,0.0034092457499355078,0.0724015,0.08146655,0.05315789207816124,0.0002635373966768384,0.15078583359718323,0.0,0.065571584,0.07391381,0.3232324,0.27324477,0.2861981,20602,58902,79504
MCF7,2.0,A133,10,1,60.0,8,0.04315731301903725,0.00018979144806507975,0.04372289776802063,0.00016754968964960426,0.04835491254925728,0.0002285056543769315,0.10713326185941696,0.0,0.060089797,0.06638858,0.042687974870204926,0.0001836358424043283,0.12825438380241394,0.0,0.053070027,0.05942865,0.15700845,0.16043077,0.16014734,11102,122946,134048
MCF7,2.0,A133,2,1,60.0,1,0.06666269153356552,0.0004190457402728498,0.06667658686637878,0.00041820682235993445,0.06596571952104568,0.00031839762232266366,0.15500186383724213,0.0030934333335608244,0.079938054,0.08927359,0.06697066128253937,0.0004632099880836904,0.19253680109977722,0.0,0.08389662,0.09492854,0.68505865,0.5650844,0.6018515,13239,29961,43200
MCF7,2.0,A133,2,1,60.0,2,0.04505167528986931,0.0001328517246292904,0.045067351311445236,0.00013219172251410782,0.04292316734790802,0.00022055245062801987,0.11411014199256897,0.0,0.054782175,0.061909303,0.0453549399971962,0.00011961891868850216,0.13227947056293488,0.0,0.0538534,0.059333503,0.08852904,0.15684193,0.14832273,15422,108242,123664
MCF7,2.0,A133,2,1,60.0,3,0.04146113619208336,8.279579196823761e-05,0.04146261140704155,8.273744606412947e-05,0.043576862663030624,5.2702049288200215e-05,0.07179764658212662,0.016617845743894577,0.049368195,0.052860573,0.04058538377285004,9.263250831281766e-05,0.08213772624731064,0.0,0.04817051,0.05281526,0.18738465,0.19473293,0.19258174,8211,19837,28048
MCF7,2.0,A133,2,1,60.0,4,0.06060267612338066,0.00037751579657197,0.06071457266807556,0.00037141924258321524,0.05804266780614853,0.00022154157340992242,0.12994195520877838,0.0,0.06989856,0.07698034,0.061243489384651184,0.00041450708522461355,0.1365153193473816,0.0,0.077419534,0.086823635,0.30514434,0.389385,0.37251997,4997,19963,24960
MCF7,2.0,A133,2,1,60.0,5,0.044231120496988297,0.00015355403593275696,0.04431593418121338,0.00015008980699349195,0.04794594272971153,0.00011217898281756788,0.08733250945806503,0.006085677538067102,0.05618868,0.0605536,0.04364122822880745,0.00015758481458760798,0.09953070431947708,0.0,0.053449363,0.059305914,0.35430786,0.2902259,0.2990073,11456,72144,83600
MCF7,2.0,A133,3,1,60.0,1,0.09295506030321121,0.0014011521125212312,0.09777423739433289,0.0010026019299402833,0.08763471245765686,0.0006386475870385766,0.1994486004114151,0.011327333748340607,0.10764656,0.12077431,0.09436438232660294,0.0015936515992507339,0.29306548833847046,0.0,0.1243308,0.14173792,0.8940717,0.7764981,0.80112046,6420,24236,30656
MCF7,2.0,A133,3,1,60.0,2,0.051082149147987366,0.0006226567202247679,0.05780941620469093,0.00031575813773088157,0.05368011072278023,0.00026834654272533953,0.11196210980415344,0.0,0.06676815,0.0741226,0.05087318643927574,0.0006505678757093847,0.15704025328159332,0.0,0.07019403,0.0797668,0.2643283,0.36106268,0.3538614,6987,86869,93856
MCF7,2.0,A133,3,1,60.0,3,0.062492791563272476,0.0005589512293227017,0.06270794570446014,0.0005473836790770292,0.0638662576675415,0.0006059278966858983,0.15334919095039368,0.0,0.083340965,0.094485335,0.06221922114491463,0.0005491437623277307,0.1788848638534546,0.0,0.080731176,0.092763245,0.6669068,0.5558705,0.57431346,6729,33783,40512
MCF7,2.0,A133,4,1,60.0,1,0.09529751539230347,0.0009960471652448177,0.09553054720163345,0.0009762212866917253,0.09272138774394989,0.0005934461369179189,0.19489112496376038,0.0,0.11207969,0.123758815,0.09636803716421127,0.0011594431707635522,0.37114790081977844,0.0,0.12334153,0.13981059,0.47822335,0.55970293,0.5360728,14148,34636,48784
